id,Year,city,"# acres urban green space per 1,000 residents",# Brownfields and Superfund sites,# drinking water violations per year,# poor air quality days per year,% properties with recycling services,# microgrids or district energy systems,# KW produced by renewables
85,2014,Chandler,149,42,13,180,0.80,15,45791
86,2014,Gilbert,150,16,13,177,0.90,20,30181
87,2014,Glendale,168,27,2,51,0.85,27,44925
88,2014,Scottsdale,487,41,17,75,0.90,29,30793
89,2014,Peoria,571,45,17,63,0.78,28,39540
90,2014,Tempe,204,7,8,175,0.89,10,46549
91,2014,Surprise,448,15,11,89,0.72,40,43374
92,2015,Chandler,149,44,0,176,0.80,15,33548
93,2015,Gilbert,150,16,8,103,0.90,20,36408
94,2015,Glendale,168,27,14,17,0.85,27,39076
95,2015,Scottsdale,487,41,18,36,0.90,29,30835
96,2015,Peoria,571,48,15,16,0.78,28,43124
97,2015,Tempe,204,8,12,78,0.89,10,41929
98,2015,Surprise,448,15,1,61,0.72,40,41549
99,2016,Chandler,150,44,5,152,0.80,15,31706
100,2016,Gilbert,157,16,14,178,0.90,20,43277
101,2016,Glendale,168,27,2,163,0.85,27,47724
102,2016,Scottsdale,487,41,16,38,0.95,29,41554
103,2016,Peoria,571,48,7,160,0.78,28,30621
104,2016,Tempe,204,8,12,131,0.89,10,35067
105,2016,Surprise,448,15,2,12,0.72,40,36364
106,2017,Chandler,150,44,11,129,0.80,15,34374
107,2017,Gilbert,150,16,1,71,0.90,20,34257
108,2017,Glendale,171,27,4,178,0.85,27,47554
109,2017,Scottsdale,487,41,4,149,0.95,29,37791
110,2017,Peoria,571,48,17,91,0.78,28,42158
111,2017,Tempe,204,8,4,193,0.89,10,49691
112,2017,Surprise,448,15,15,95,0.76,40,30222
113,2018,Chandler,150,44,14,167,0.80,15,37785
114,2018,Gilbert,150,16,7,138,0.90,20,33394
115,2018,Glendale,171,27,14,83,0.85,27,36001
116,2018,Scottsdale,487,41,9,122,0.95,29,33159
117,2018,Peoria,571,48,10,192,0.78,28,37832
118,2018,Tempe,204,8,18,97,0.89,10,39157
119,2018,Surprise,448,15,9,63,0.76,40,32419
120,2019,Chandler,150,44,11,80,0.80,15,48375
121,2019,Gilbert,150,16,16,93,0.90,20,47823
122,2019,Glendale,171,27,3,114,0.85,27,49958
123,2019,Scottsdale,487,41,18,69,0.95,29,48944
124,2019,Peoria,571,48,17,164,0.78,28,48675
125,2019,Tempe,204,8,3,31,0.89,10,37844
126,2019,Surprise,448,15,6,75,0.76,40,43212
127,2020,Chandler,150,44,7,188,0.80,15,41451
128,2020,Gilbert,150,16,17,123,0.90,20,47228
129,2020,Glendale,171,27,3,90,0.85,27,37714
130,2020,Scottsdale,487,45,13,104,0.95,29,38900
131,2020,Peoria,571,48,17,107,0.78,28,37496
132,2020,Tempe,204,8,6,46,0.89,10,45698
133,2020,Surprise,448,15,5,100,0.76,40,38129
134,2021,Chandler,150,44,7,14,0.80,15,44767
135,2021,Gilbert,150,16,17,94,0.90,20,47787
136,2021,Glendale,171,27,1,193,0.85,27,44909
137,2021,Scottsdale,487,45,17,109,0.95,29,49827
138,2021,Peoria,571,48,17,172,0.78,28,48287
139,2021,Tempe,204,8,12,155,0.89,10,31950
140,2021,Surprise,448,15,17,82,0.76,40,43664
141,2022,Chandler,150,44,2,76,0.80,15,36785
142,2022,Gilbert,150,16,12,132,0.90,20,35121
143,2022,Glendale,171,27,8,139,0.85,27,30513
144,2022,Scottsdale,487,45,17,192,0.95,29,33850
145,2022,Peoria,573,48,7,184,0.78,28,47900
146,2022,Tempe,205,8,14,134,0.89,10,41834
147,2022,Surprise,,15,10,146,0.76,40,38022
